dv,demvotesh,repvotesh,year,stcd,openlag,red,inc,pv,southborder,lagdv,cutpoint,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,demmvlag,use
64.78867,63.09645,34.29165,1968,519,,1,1,48.12886,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
29.52065,29.05544,69.36868,1968,520,,1,-1,34.74282,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
91.56882,91.56882,8.431172,1968,521,,1,1,93.35924,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
57.88102,56.8915,41.39893,1968,522,,1,1,50.05857,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
34.93315,34.93315,65.06685,1968,523,,1,-1,46.32395,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
27.16398,27.16398,72.83602,1968,524,,1,-1,32.43163,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
31.32884,31.32884,68.67116,1968,525,,1,-1,39.52398,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
67.60935,65.43357,31.34826,1968,526,,1,1,66.67535,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
27.83789,27.83789,72.16211,1968,527,,1,-1,40.54506,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
27.30408,26.77456,71.28609,1968,528,,1,-1,40.56015,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
52.26892,52.26892,47.73108,1968,529,,1,1,55.4735,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
67.39608,67.39608,32.60392,1968,530,,1,1,62.37001,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
60.08572,58.88707,39.11803,1968,531,,1,1,62.13614,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
24.57774,24.06896,73.86097,1968,532,,1,-1,40.90244,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
32.56732,32.01256,66.28401,1968,533,,1,-1,42.708,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
50.95813,50.95813,49.04187,1968,534,,1,1,40.11884,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
25.71341,25.10093,72.51711,1968,535,,1,-1,28.63802,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
28.3891,28.3891,71.6109,1968,536,,1,-1,36.03677,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
64.7,15.46493,84.53506,1968,537,,1,1,48.99432,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
63.86464,62.66,35.45375,1968,538,,1,1,45.28239,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
52.4506,45.74245,41.46809,1968,601,,0,1,53.55354,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
37.14504,37.14504,62.85496,1968,602,,0,-1,40.38111,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
52.12191,52.12191,47.87809,1968,603,,0,1,47.65676,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54.69266,54.69266,45.30733,1968,604,,0,1,38.55415,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
62.61418,62.4343,37.27842,1968,701,,0,1,59.8614,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54.37914,54.05118,45.34572,1968,702,,0,1,53.22339,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
55.98368,53.88763,42.36834,1968,703,,0,1,51.46155,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
47.93429,47.32665,51.4057,1968,704,,0,1,45.79747,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
56.31507,56.31421,43.68426,1968,705,,0,1,53.11446,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
37.71228,37.71098,62.28557,1968,706,,0,-1,53.72425,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
41.32706,41.32706,58.67294,1968,801,,0,-1,47.97749,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
84.65668,84.65668,15.34332,1968,901,,1,1,48.76715,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,902,,1,1,54.07459,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
78.89603,78.89603,21.10396,1968,903,,1,1,55.12861,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
52.84178,52.83434,47.15157,1968,904,,1,0,41.08279,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
38.32789,38.32789,61.67211,1968,905,,1,0,31.83125,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
61.9841,61.98227,38.01478,1968,906,,1,1,47.48779,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54.99985,54.99985,45.00015,1968,907,,1,1,32.5959,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,100,1968,908,,1,-1,38.50599,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
56.15896,56.15896,43.84104,1968,909,,1,1,33.0493,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
45.13523,45.13523,54.86477,1968,910,,1,-1,44.48053,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
76.5798,76.57922,23.42001,1968,911,,1,1,67.17469,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
57.03977,57.03977,42.96023,1968,912,,1,1,46.3398,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
68.18386,68.18386,31.81614,1968,1001,,0,1,52.474,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1002,,0,1,54.04103,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.99462,0,1968,1003,,0,1,48.60614,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
42.47701,42.47701,57.52299,1968,1004,,0,-1,41.76837,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
44.35731,44.357,55.6423,1968,1005,,0,-1,52.97434,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.99589,0,1968,1006,,0,1,44.81776,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.84377,0,1968,1007,,0,1,36.98663,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.99846,0,1968,1008,,0,1,49.65499,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.99642,0,1968,1009,,0,1,39.37889,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.99628,0,1968,1010,,0,1,50.61431,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
67.28822,37.14396,18.05732,1968,1101,,0,1,60.7,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
40.55811,40.55811,59.44189,1968,1201,,0,-1,37.8967,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
45.48434,43.87443,52.58608,1968,1202,,0,0,31.50235,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
84.56496,84.56496,15.43504,1968,1301,,0,1,93.23042,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
65.36239,65.36239,34.63762,1968,1302,,0,0,66.51775,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54.03529,54.03529,45.96471,1968,1303,,0,1,61.625,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
31.68806,31.68806,68.31194,1968,1304,,0,-1,36.4556,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
55.3582,55.3582,44.6418,1968,1305,,0,1,54.55606,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
59.69278,59.69278,40.30722,1968,1306,,0,1,61.62308,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
83.14153,83.14153,16.85847,1968,1307,,0,1,82.23929,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
62.77943,62.77943,37.22057,1968,1308,,0,1,56.62102,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
64.4395,64.4395,35.5605,1968,1309,,0,1,62.16697,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
33.2034,33.2034,66.7966,1968,1310,,0,-1,36.6943,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
55.76263,55.76263,44.23737,1968,1311,,0,1,47.85384,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
29.56494,29.56494,70.43507,1968,1312,,0,-1,35.72469,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
27.26401,27.26401,72.73598,1968,1313,,0,-1,38.64297,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
28.87012,28.86999,71.12958,1968,1314,,0,-1,32.52002,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
31.28682,31.28682,68.71318,1968,1315,,0,-1,36.41743,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
32.65383,32.65383,67.34618,1968,1316,,0,-1,38.52205,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
