GUBERNATORIAL National Summary 1990
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,19901106,General,Alaska,"50,991","Sturgulewski, Arliss",Challenger,"60,201","Knowles, Tony",Challenger,Alaskan Independent,"75,721","Hickel, Walter J.",Challenger,"7,837","15,520",ALI,38.88,45.86,54.14,"The other vote was: Scattered Write-Ins (Other) 7,837"
Governor,N/A,19901106,General,Alabama,"633,519","Hunt, Guy",Incumbent,"582,106","Hubbert, Paul R.",Challenger,N/A,N/A,N/A,N/A,625,"51,413",R,.00,52.11,47.89,
Governor,N/A,19901106,General,Arkansas,"295,925","Nelson, Sheffield",Challenger,"400,386","Clinton, Bill",Incumbent,N/A,N/A,N/A,N/A,101,"104,461",D,.00,42.50,57.50,
Governor,N/A,19901106,General Election (Not Decisive),Arizona,"523,984","Symington, Fife",Challenger,"519,691","Goddard, Terry",Challenger,N/A,N/A,N/A,N/A,"11,731","4,293",R,.00,50.21,49.79,"Neither major-party candidate won an absolute majority in this November election; therefore a run-off election was held February 26, 1991."
Governor,N/A,19901106,General,California,"3,791,904","Wilson, Pete",Challenger,"3,525,197","Feinstein, Dianne",Challenger,N/A,N/A,N/A,N/A,"382,366","266,707",R,.00,51.82,48.18,
Governor,N/A,19901106,General,Colorado,"358,403","Andrews, John",Challenger,"626,032","Romer, Roy",Incumbent,N/A,N/A,N/A,N/A,"26,837","267,629",D,.00,36.41,63.59,
Governor,N/A,19901106,General,Connecticut,"427,840","Rowland, John G.",Challenger,"237,641","Morrison, Bruce A.",Challenger,A Connecticut Party,"460,576","Weicker, Lowell P. Jr.",Challenger,"16,044","32,736",ACP,40.33,64.29,35.71,"The other vote was: Scattered Write-Ins (Other) 16,044"
Governor,N/A,19901106,General,Florida,"1,535,068","Martinez, Bob",Incumbent,"1,995,206","Chiles, Lawton",Challenger,Write-in,597,"Floyd, NULL",Challenger,N/A,"460,138",D,.02,43.48,56.52,
Governor,N/A,19901106,General,Georgia,"645,625","Isakson, Johnny",Challenger,"766,662","Miller, Zell",Challenger,N/A,N/A,N/A,N/A,"37,395","121,037",D,.00,45.71,54.29,
Governor,N/A,19901106,General,Hawaii,"131,310","Hemmings, Fred",Challenger,"203,491","Waihee, John",Incumbent,N/A,N/A,N/A,N/A,"5,331","72,181",D,.00,39.22,60.78,
