GUBERNATORIAL National Summary 2010
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20101102,General,Alabama,"860,472","Bentley, Robert",Challenger,"625,710","Sparks, Ron",Challenger,Write-in,"8,091",Scattered Write-Ins,Challenger,N/A,"234,762",R,.54,57.90,42.10,
Governor,N/A,20101102,General,Alaska,"151,318","Parnell, Sean R.",Incumbent,"96,519","Berkowitz, Ethan A.",Challenger,Alaskan Independent,"4,775","Wright, Don",Challenger,"3,580","54,799",R,1.86,61.06,38.94,"The other vote was: Toien, William S. (Libertarian) 2,682; Scattered Write-Ins (Write-in) 898"
Governor,N/A,20101102,General,Arizona,"938,934","Brewer, Jan",Incumbent,"733,935","Goddard, Terry",Challenger,Libertarian,"38,722","Hess, Barry J. II",Challenger,"16,490","204,999",R,2.24,56.13,43.87,"The other vote was: Gist, Larry (Green) 16,128; Wood, Janelle (Write-in) 322; Dowls, Anton (Write-in) 28; Dolego, Cary (Write-in) 12"
Governor,N/A,20101102,General,Arkansas,"262,784","Keet, Jim",Challenger,"503,336","Beebe, Mike D.",Incumbent,Green,"14,513","Lendall, Jim",Challenger,700,"240,552",D,1.86,34.30,65.70,The other vote was: Scattered Write-Ins (Write-in) 700
Governor,N/A,20101102,General,California,"4,127,391","Whitman, Meg",Challenger,"5,428,149","Brown, Edmund G.",Challenger,American Independent,"166,312","Nightingale, Chelene",Challenger,"373,333","1,300,758",D,1.65,43.19,56.81,"The other vote was: Ogden, Dale F. (Libertarian) 150,895; Wells, Laura (Green) 129,224; Alvarez, Carlos (Peace and Freedom) 92,851; Lieurance, Cassandra A. (Write-in) 285; Sherman, Lea (Write-in) 43; Christian, Rakesh Kumar (Write-in) 13; Smalley, Nadia B. (Write-in) 8; Bagley, Hugh G. (Write-in) 4; Millar, Rowan (Write-in) 4; Vangelisti, Jacob (Write-in) 4; Chavez, Anselmo A. (Write-in) 2"
Governor,N/A,20101102,General,Colorado,"199,792","Maes, Dan",Challenger,"915,436","Hickenlooper, John",Challenger,American Constitution,"652,376","Tancredo, Tom",Challenger,"25,544","263,060",D,36.38,17.91,82.09,"The other vote was: Brown, Jaimes (Libertarian) 13,365; Clark, Jason R. (Independent) 8,601; Fiorino, Paul Noel (Independent) 3,492; Cremeens, Holly (Write-in) 43; Chambers, Willie Travis (Write-in) 24; Moore, Michael R. (Write-in) 18; Carr, Peter J. (Write-in) 1"
Governor,N/A,20101102,General,Connecticut,"560,874","Foley, Tom C.",Challenger,"567,278","Malloy, Dan",Challenger,Independent,"17,629","Marsh, Thomas E.",Challenger,18,"6,404",D,1.54,49.72,50.28,"The other vote was: Copp, Paul (Write-in) 13; Thibodeau, P. Robert (Write-in) 5"
Governor,N/A,20101102,General,Florida,"2,619,335","Scott, Rick",Challenger,"2,557,785","Sink, Alex",Challenger,Independence (Florida),"123,831","Allen, Peter",Challenger,"58,784","61,550",R,2.31,50.59,49.41,"The other vote was: Reed, C.C. (Independent) 18,842; Arth, Michael E. (Independent) 18,644; Imperato, Daniel (Independent) 13,690; Khavari, Farid (Independent) 7,487; Larose, Josue (Write-in) 121"
Governor,N/A,20101102,General,Georgia,"1,365,832","Deal, Nathan",Challenger,"1,107,011","Barnes, Roy E.",Challenger,Libertarian,"103,194","Monds, John H.",Challenger,124,"258,821",R,4.01,55.23,44.77,"The other vote was: Byrnes, David C. (Write-in) 76; Horsley, Neal (Write-in) 48"
Governor,N/A,20101102,General,Hawaii,"157,311","Aiona, Duke",Challenger,"222,724","Abercrombie, Neil",Challenger,Free Energy,"1,265","Cunningham, Daniel H.",Challenger,"1,263","65,413",D,.33,41.39,58.61,"The other vote was: Pollard, Thomas (Non Partisan) 1,263"
