GUBERNATORIAL National Summary 1980
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1978,General,Alabama,"196,963","Hunt, Guy",Challenger,"551,886","James, Forrest H. Jr.",Challenger,N/A,N/A,N/A,N/A,"11,625","354,923",D,.00,26.30,73.70,
Governor,N/A,1978,General,Arkansas,"193,746","Lowe, A. Lynn",Challenger,"335,101","Clinton, Bill",Challenger,N/A,N/A,N/A,N/A,65,"141,355",D,.00,36.64,63.36,
Governor,N/A,1978,General,Arizona,"241,093","Mecham, Evan",Challenger,"282,605","Babbitt, Bruce",Incumbent,N/A,N/A,N/A,N/A,"14,858","41,512",D,.00,46.04,53.96,
Governor,N/A,1978,General,California,"2,526,534","Younger, Evelle J.",Challenger,"3,878,812","Brown, Edmund G.",Incumbent,N/A,N/A,N/A,N/A,"517,032","1,352,278",D,.00,39.44,60.56,
Governor,N/A,1978,General,Colorado,"317,292","Strickland, Ted",Challenger,"483,985","Lamm, Richard D.",Incumbent,N/A,N/A,N/A,N/A,"22,530","166,693",D,.00,39.60,60.40,
Governor,N/A,1978,General,Connecticut,"422,316","Sarasin, Ronald A.",Challenger,"613,109","Grasso, Ella T.",Incumbent,N/A,N/A,N/A,N/A,"1,183","190,793",D,.00,40.79,59.21,
Governor,N/A,1978,General,Florida,"1,123,888","Eckerd, Jack M.",Challenger,"1,406,580","Graham, Bob",Challenger,N/A,N/A,N/A,N/A,N/A,"282,692",D,.00,44.41,55.59,
Governor,N/A,1978,General,Georgia,"128,139","Cook, Rodney M.",Challenger,"534,572","Busbee, George",Incumbent,N/A,N/A,N/A,N/A,151,"406,433",D,.00,19.34,80.66,
Governor,N/A,1978,General,Hawaii,"124,610","Leopold, John",Challenger,"153,394","Ariyoshi, George R.",Incumbent,N/A,N/A,N/A,N/A,"3,583","28,784",D,.00,44.82,55.18,
Governor,N/A,1978,General,Iowa,"491,713","Ray, Robert E.",Incumbent,"345,519","Fitzgerald, Jerome D.",Challenger,N/A,N/A,N/A,N/A,"5,958","146,194",R,.00,58.73,41.27,
Governor,N/A,1978,General,Idaho,"114,149","Larsen, Allan",Challenger,"169,540","Evans, John V.",Incumbent,N/A,N/A,N/A,N/A,"4,877","55,391",D,.00,40.24,59.76,
Governor,N/A,1978,General,Illinois,"1,859,684","Thompson, James R.",Incumbent,"1,263,134","Bakalis, Michael",Challenger,N/A,N/A,N/A,N/A,"27,277","596,550",R,.00,59.55,40.45,
Governor,N/A,1978,General,Kansas,"348,015","Bennett, Robert F.",Incumbent,"363,835","Carlin, John",Challenger,N/A,N/A,N/A,N/A,"24,396","15,820",D,.00,48.89,51.11,
Governor,N/A,1978,General,Massachusetts,"926,072","Hatch, Francis W.",Challenger,"1,030,294","King, Edward J.",Challenger,N/A,N/A,N/A,N/A,"5,885","104,222",D,.00,47.34,52.66,
Governor,N/A,1978,General,Maryland,"293,635","Beall, John Glenn Jr.",Challenger,"718,328","Hughes, Harry R.",Challenger,N/A,N/A,N/A,N/A,N/A,"424,693",D,.00,29.02,70.98,
Governor,N/A,1978,General,Maine,"126,862","Palmer, Linwood E.",Challenger,"176,493","Brennan, Joseph E.",Challenger,N/A,N/A,N/A,N/A,"66,903","49,631",D,.00,41.82,58.18,
Governor,N/A,1978,General,Michigan,"1,628,485","Milliken, William G.",Incumbent,"1,237,256","Fitzgerald, William",Challenger,N/A,N/A,N/A,N/A,"1,471","391,229",R,.00,56.83,43.17,
Governor,N/A,1978,General,Minnesota,"830,019","Quie, Albert H.",Challenger,"718,244","Perpich, Rudy",Incumbent,N/A,N/A,N/A,N/A,"37,439","111,775",R,.00,53.61,46.39,
Governor,N/A,1978,General,Nebraska,"275,473","Thone, Charles",Challenger,"216,754","Whelan, Gerald T.",Challenger,N/A,N/A,N/A,N/A,196,"58,719",R,.00,55.96,44.04,
Governor,N/A,1978,General,New Hampshire,"122,464","Thomson, Meldrim Jr.",Incumbent,"133,133","Gallen, Hugh J.",Challenger,N/A,N/A,N/A,N/A,"13,990","10,669",D,.00,47.91,52.09,
Governor,N/A,1978,General,New Mexico,"170,848","Skeen, Joseph R.",Challenger,"174,631","King, Bruce",Challenger,N/A,N/A,N/A,N/A,98,"3,783",D,.00,49.45,50.55,
Governor,N/A,1978,General,Nevada,"108,097","List, Robert F.",Challenger,"76,361","Rose, Robert E.",Challenger,N/A,N/A,N/A,N/A,"7,987","31,736",R,.00,58.60,41.40,
Governor,N/A,1978,General,New York,"2,156,404","Duryea, Perry B.",Challenger,"2,429,272","Carey, Hugh L.",Incumbent,N/A,N/A,N/A,N/A,"183,144","272,868",D,.00,47.02,52.98,
Governor,N/A,1978,General,Ohio,"1,402,167","Rhodes, James A.",Incumbent,"1,354,631","Celeste, Richard F.",Challenger,N/A,N/A,N/A,N/A,"86,553","47,536",R,.00,50.86,49.14,
